uni,n,k,date,p,rot_spread,V_full,V_lw,V_pf0.5,V_pf1.0,V_pf2.0,V_uni
small,63,5,2020-12-01,538,0.5201792971027469,0.09562703305601365,0.10951772638872022,0.10955327590757839,0.12064972637388142,0.13147238698670058,0.14891593451379914
small,63,5,2021-01-04,542,0.6196303418380723,0.15309170800442073,0.14644632717367648,0.19246424713875873,0.2095131280419864,0.2227177802231698,0.24675525286465877
small,63,5,2021-02-01,544,0.5361581154542405,0.13048184360424456,0.14642370279673703,0.21031996726422383,0.22596795202258427,0.23746005029311157,0.22863827581611781
small,63,5,2021-03-01,544,0.4466874266374558,0.10812034908369589,0.12763794914477317,0.1998101999738937,0.22455658053029134,0.24367974375303253,0.2514898830199433
small,63,5,2021-04-01,545,0.32945902840596947,0.07723573274553526,0.0814048520911301,0.09934392123386811,0.11690570983665448,0.13363779831940278,0.14103079299817936
small,63,5,2021-05-03,546,0.5809307465292382,0.11188945309999146,0.11201684463333583,0.13769566301328462,0.15656520619007255,0.17351720542009147,0.19379318250146652
small,63,5,2021-06-01,548,0.5213648620134331,0.10010446601557108,0.10153864607819403,0.11982515306364827,0.13155668157876343,0.14253612276739433,0.15182103097565638
small,63,5,2021-07-01,550,0.5276863274875369,0.08373733244245515,0.09806616996062266,0.14172859248617958,0.1632176735464486,0.18174804117607876,0.19987662075931925
small,63,5,2021-08-02,553,0.3090123170341106,0.10119111199460633,0.09382948584882563,0.11670117393931816,0.1329060889616719,0.14863126625946804,0.15831231759082262
small,63,5,2021-09-01,555,0.4925782494423396,0.09568180442889344,0.07354737977368754,0.11329630231797976,0.12740560393981828,0.14293128737368696,0.16060704592507324
small,63,5,2021-10-01,562,0.5121044116617857,0.060089211215103265,0.1005426216519787,0.11844310058454867,0.12839154935127786,0.13580542224324033,0.14024897113613397
small,63,5,2021-11-01,565,0.5214728536632002,0.1005305273051062,0.1083525859352407,0.14803133363343363,0.16011958990885067,0.1704925064588845,0.18638215922811482
small,63,5,2021-12-01,566,0.6031519522143945,0.12284064086976648,0.109738878878321,0.1764331179922641,0.19750895321813908,0.21036953682669368,0.22361669626056677
small,63,5,2022-01-03,569,0.5707386474875534,0.1037057822030374,0.1101992483244948,0.17299001520061874,0.19360524958602077,0.20905111026455822,0.22792045835004535
small,63,5,2022-02-01,572,0.5289038880237105,0.1390697168734603,0.1749229209404158,0.17601375273740105,0.19057220898877014,0.20545825288723207,0.2227241353890006
small,63,5,2022-03-01,572,0.5205101228787277,0.137750050866929,0.11531486651528836,0.13888218024369436,0.1564914637039541,0.17946772082964038,0.21877547345936135
small,63,5,2022-04-01,573,0.38161807443549045,0.1171414856500039,0.12975041258030254,0.1724023388931359,0.18646803900887216,0.19960242617625037,0.22006677299125763
