book,model,window,n_obs,alpha_ann,t_alpha,R2,avg_gross,alpha_stress,beta_Mkt-RF,t_Mkt-RF,beta_SMB,t_SMB,beta_HML,t_HML,beta_RMW,t_RMW,beta_CMA,t_CMA,beta_Mom,t_Mom,beta_TSMOM,t_TSMOM,beta_QQQRES,t_QQQRES
dual_momentum_gold,M2,blind,1223,0.1298151498269016,1.3211506952275334,0.37287726734317717,1.4243630573248407,0.1122513770482587,0.287595559010661,3.4860603830991534,-0.2549402950138377,-3.281352461017258,0.008442917558454369,0.10249246319309169,-0.0833933734949078,-0.9446217973212894,-0.42127270734005223,-3.5180532630296106,0.09440940779462287,1.9679906438165318,1.1999948996035983,9.424580088143864,0.23089502647251586,1.5474776417410627
dual_momentum_gold,M0,full_IN-SAMPLE,2779,0.08790632587304094,1.3214103027011723,0.36799653076060823,1.3339155287392823,0.07917859822690482,0.9749889239469923,12.323577546285964,,,,,,,,,,,,,,
dual_momentum_gold,M1,full_IN-SAMPLE,2779,0.05558149606016153,0.8913536404541225,0.4590035550352324,1.3339155287392823,0.046853768414025415,1.0133874854612002,12.92338799911064,-0.1598078929474596,-2.9108414740725355,-0.07384745475576265,-1.0947956857181111,0.01649665013033423,0.20191444140478867,-0.20283259404342577,-2.0096300755131695,0.4267578305285404,11.320364577043332,,,,
dual_momentum_gold,M2,full_IN-SAMPLE,2779,0.06903722024789559,1.2537326595428457,0.5783888081226856,1.3339155287392823,0.060309492601759475,0.6697401883810218,7.300720884372315,-0.2772720106970711,-5.713094241642695,-0.06505437272273874,-1.0693532693524888,0.05521666481881035,0.8320933839800768,-0.34713727586367027,-3.7712601243986934,0.17178879966615046,4.796547372681372,1.099385668042943,13.717685859542195,0.5539277864362779,5.163215506721444
CTRL_spy_buyhold,M0,blind_1y,219,0.007963368666965018,0.6814077852071514,0.9917633039726005,1.0,0.007963368666965018,0.9561498524759318,153.96492350068806,,,,,,,,,,,,,,
CTRL_spy_buyhold,M1,blind_1y,219,0.009697448717406163,1.2288775591509007,0.9955619626069598,1.0,0.009697448717406163,0.9902847340171337,183.80257324262945,-0.05925096901920163,-7.180443620219122,0.002312035539411882,0.29024570719352377,0.0429180596288487,5.120975666161647,-0.0015209872236314006,-0.1414443497052042,0.0015456974020383665,0.3827306670254683,,,,
CTRL_spy_buyhold,M2,blind_1y,219,0.009633902711850436,1.2393411398690701,0.9957583476817385,1.0,0.009633902711850436,0.9870746904954565,89.13491698668345,-0.05468237455151633,-7.280466357136289,-0.009301734551764421,-1.0937635340027694,0.05099804047699815,6.256044990195209,-0.00301273374947297,-0.2885731010450098,0.0018772569212419374,0.5254273046996658,0.0008201010229698372,0.06280649644337223,0.043568983964020265,3.3929530228490745
CTRL_qqq_buyhold,M0,blind_1y,219,0.054544560022947566,0.8890939400328788,0.8927782573423475,1.0,0.054544560022947566,1.225621985502931,47.24373614041904,,,,,,,,,,,,,,
CTRL_qqq_buyhold,M1,blind_1y,219,0.03290258654010546,0.9847309563674389,0.9435746886333187,1.0,0.03290258654010546,1.163211614688193,41.62534207753825,-0.22923904540740297,-4.89174536980849,-0.04009799537835681,-1.03831627843889,-0.13201800015709983,-3.039341476363952,-0.1595281346790493,-3.2670461643610804,0.03273931318552292,2.0382209604630743,,,,
CTRL_qqq_buyhold,M2,blind_1y,219,0.032297661983856134,129760548188.4298,1.0,1.0,0.032297661983856134,1.1022037843971084,10452755360714.383,-0.12107268690318476,-1274128380138.439,-0.3062286029432249,-3922166570909.52,0.0508397427916735,605314351930.3789,-0.19263451865442643,-1578679901927.4446,0.04110861897986715,805098805270.2306,-8.439064180388343e-16,-0.00655061324807385,0.9999999999999996,6729614349783.49
CTRL_qqq_1.5x_static,M0,blind_1y,219,0.10314006481593005,1.1227187475812992,0.8928243052377658,1.5,0.07900718810360127,1.8384716471694058,47.261706547638305,,,,,,,,,,,,,,
CTRL_qqq_1.5x_static,M1,blind_1y,219,0.07071370828623297,1.4190573562059696,0.943638840477988,1.5,0.0465808315739042,1.7449315566925374,41.67322141047195,-0.344011185088586,-4.896908080399988,-0.06004818497876825,-1.036503291737016,-0.19805750495917238,-3.04117021307455,-0.2398227532737568,-3.2701918789458433,0.04880281438272692,2.0269345752974015,,,,
CTRL_qqq_1.5x_static,M2,blind_1y,219,0.06976640416993875,77.6271228422024,0.9999979499827649,1.5,0.04563352745760998,1.6528783037621446,3662.0695201627186,-0.18202457011400755,-616.4754807093024,-0.45900380730879065,-1392.004509572715,0.07617313600751985,302.6889130059367,-0.28950363847222116,-543.9713405915644,0.06131253907423006,340.1333088620783,0.0008933076381645661,1.617267992485999,1.4990204401123888,2599.7879475284435
CTRL_bench_qqq_sma200_2x,M0,blind_1y,219,0.12384561903720748,0.7657980996361463,0.7253082209268026,1.6984126984126984,0.09013620394697047,2.046108152487128,8.067996698458218,,,,,,,,,,,,,,
CTRL_bench_qqq_sma200_2x,M1,blind_1y,219,0.07382079532917933,0.581161976931756,0.7764322216774722,1.6984126984126984,0.04011138023894232,1.9032118891501943,7.169346148440057,-0.3934821569273452,-2.7589004217927666,0.04543898628270301,0.3649338039458954,-0.3561503981530814,-3.3295991817859116,-0.5257135817666214,-3.0503077518486714,-0.04670124863809161,-0.7255824658062534,,,,
CTRL_bench_qqq_sma200_2x,M2,blind_1y,219,0.0579814041150136,0.5397638462795037,0.865305681176563,1.6984126984126984,0.02427198902477659,1.5509552063940286,4.40215961922359,-0.20600788210231644,-2.5959215419456547,-0.5611287522787477,-9.758477839447403,0.09962078633166947,1.3445883763135074,-0.619467958850122,-3.9832106822750024,-0.0407334178815259,-0.5450892063452301,0.31924601444825873,1.6559954459009953,2.251813980082145,10.162656266129794
CTRL_spy_buyhold,M0,blind_5y,1223,0.011389577386271459,1.6220080670133674,0.9887141262492886,1.0,0.011389577386271459,0.9632679295871823,92.55519214271337,,,,,,,,,,,,,,
CTRL_spy_buyhold,M1,blind_5y,1223,0.001991793235518057,0.4442390241825625,0.9948524136524252,1.0,0.001991793235518057,0.9987167010761245,117.55053507166235,-0.08736433291549085,-18.898584885118858,0.00520336248121964,1.1199440192153294,0.061369096763780655,12.428827501356023,0.04965962817801488,4.348627960708558,-0.003139464010486091,-0.8506366375234462,,,,
CTRL_spy_buyhold,M2,blind_5y,1223,0.0020595430205213117,0.4632871131672271,0.9948566469607315,1.0,0.0020595430205213117,0.9988343083616271,118.9881808029923,-0.08667920059923791,-18.438121620257153,0.004786729763911839,1.0072007839113697,0.061430985738683996,12.37760193710844,0.04934832355872648,4.441572936342903,-0.0024593378820897058,-0.6300833671130237,-0.0021234278807458276,-0.42315565809188893,0.007078669308380355,0.7813364220032984
CTRL_qqq_buyhold,M0,blind_5y,1223,0.02143617860122099,0.6773404445677594,0.9148462798271588,1.0,0.02143617860122099,1.216157489387537,94.29899850417934,,,,,,,,,,,,,,
CTRL_qqq_buyhold,M1,blind_5y,1223,0.03358464506817254,1.5473251244255584,0.959150288032775,1.0,0.03358464506817254,1.1488815586555556,116.21597619816944,-0.1506169351782328,-9.118949363944013,-0.2686500591354726,-14.635717518643984,0.015822748959008114,0.7610421696321314,-0.10558058068416451,-4.449324066047612,0.030174308009144144,2.871548255358679,,,,
CTRL_qqq_buyhold,M2,blind_5y,1223,0.032297661982364174,31750826755991.58,1.0,1.0,0.032297661982364174,1.1022037843971109,5096442036414437.0,-0.12107268690318518,-355044410965443.2,-0.3062286029432251,-1135706023469952.2,0.05083974279167778,154477635003424.1,-0.19263451865442616,-494530404594418.0,0.04110861897986618,201227400218899.03,-5.297181996680431e-17,-0.16264190578973492,0.9999999999999994,1601342874928324.5
CTRL_qqq_1.5x_static,M0,blind_5y,1223,0.049945591436693075,1.0510309053459312,0.9148270675454825,1.5,0.029251315067110078,1.8243602545665984,94.30103190453475,,,,,,,,,,,,,,
CTRL_qqq_1.5x_static,M1,blind_5y,1223,0.06817726332876714,2.0946490841745007,0.9591615100967166,1.5,0.04748298695918414,1.723339203195012,116.19892482861218,-0.22604092638324078,-9.135788750365256,-0.4029712655557675,-14.63931347232918,0.02351805571403674,0.7543048834963392,-0.15878444656275176,-4.458854694752219,0.04526764477849198,2.8723859457826295,,,,
CTRL_qqq_1.5x_static,M2,blind_5y,1223,0.06623932552815937,90.81929446273833,0.99999622864502,1.5,0.045545049158576364,1.6532869880848142,10338.879741748571,-0.1817783865908628,-740.3813697888643,-0.4593163177674007,-2239.071409005414,0.07605513183675774,287.90470628851574,-0.28937833220631176,-1103.6499993397392,0.06160631910630258,454.4361458083055,0.0002134021255352609,0.7718997306945629,1.499797073243848,3496.633934837216
CTRL_bench_qqq_sma200_2x,M0,blind_5y,1223,0.1842165793088781,1.7471387853682636,0.3541026649061365,1.7030254777070064,0.1551193722478243,1.0062668032648323,7.380715475831858,,,,,,,,,,,,,,
CTRL_bench_qqq_sma200_2x,M1,blind_5y,1223,0.15602035290027563,1.6385806564512386,0.473905861941484,1.7030254777070064,0.12692314583922182,0.9286405909863552,6.966780182533009,0.21509717339094267,2.186738786229246,-0.3565562491808411,-4.165167504069732,-0.07973909341730188,-0.9292794404358792,-0.17851100835413863,-1.0786532020478632,0.6197132965988881,9.089343568113328,,,,
CTRL_bench_qqq_sma200_2x,M2,blind_5y,1223,0.12418476710994117,1.55412079541605,0.6230034513042644,1.7030254777070064,0.09508756004888737,0.6707783214453461,5.3393205079208705,0.08716157400797324,0.8613197744615927,-0.3681625302674789,-4.708279612273039,0.0561651927461319,0.7932411284353904,-0.456025971076379,-3.0762250598055814,0.40886231330106093,6.034678110585533,0.8139199348541148,6.729679104233232,1.8452599193759591,10.83718473590018
CTRL_spy_buyhold,M0,full_IN-SAMPLE,2779,0.004379666680691056,0.8994640353263665,0.9896983555791098,1.0,0.004379666680691056,0.963764481951477,174.53002702389173,,,,,,,,,,,,,,
CTRL_spy_buyhold,M1,full_IN-SAMPLE,2779,-0.0007621174563223275,-0.25811158032492426,0.9951379992474337,1.0,-0.0007621174563223275,0.9855591111126918,171.2394872125538,-0.10351584699739605,-30.60890476554286,0.010683140953259715,2.1679990357266106,0.05295314842225698,13.605112529015095,0.04238772016286374,5.079971506019826,-0.010935145915097165,-3.379051461840258,,,,
CTRL_spy_buyhold,M2,full_IN-SAMPLE,2779,-0.0006230876181142605,-0.2121180378589694,0.9951770347899361,1.0,-0.0006230876181142605,0.9819474047422209,153.84046345359945,-0.10474326885847562,-32.09852826826549,0.010778209161426527,2.2343570933766586,0.053362489573970266,13.883748423101103,0.04084578980410928,4.858731359984385,-0.013605506449092565,-3.9266100083663265,0.011521353240577353,2.752579131993511,0.007886330492934562,1.0256263722540564
CTRL_qqq_buyhold,M0,full_IN-SAMPLE,2779,0.0398267688763875,1.6951621572749966,0.8791823342617187,1.0,0.0398267688763875,1.1255191534946112,45.56948514681327,,,,,,,,,,,,,,
CTRL_qqq_buyhold,M1,full_IN-SAMPLE,2779,0.03325073221350741,2.2254634711012593,0.9506710129005994,1.0,0.03325073221350741,1.1071756897050393,72.19435822855117,-0.12279269687569086,-8.42848833725119,-0.3076308108426705,-16.328579367818435,0.04912793262398358,2.854057452464153,-0.17839098707155104,-6.773179771739284,0.040307887560877005,4.834210630426944,,,,
CTRL_qqq_buyhold,M2,full_IN-SAMPLE,2779,0.032297661982755306,1713946280388.4717,1.0,1.0,0.032297661982755306,1.1022037843971098,374829019144780.4,-0.12107268690318618,-24106826075152.008,-0.30622860294322446,-66613484565764.63,0.050839742791677196,7898015559681.143,-0.19263451865442707,-24347296869757.055,0.04110861897986648,13281052659308.602,-9.798549887525145e-20,-1.6929972420502374e-05,0.9999999999999998,100251726209340.36
CTRL_qqq_1.5x_static,M0,full_IN-SAMPLE,2779,0.06994681736621103,1.9836607472607588,0.8791557108828261,1.5,0.05687805162313798,1.6882750033854352,45.56896125808103,,,,,,,,,,,,,,
CTRL_qqq_1.5x_static,M1,full_IN-SAMPLE,2779,0.06008356755980982,2.681210229704194,0.9506731675994853,1.5,0.04701480181673677,1.6607291535626014,72.19530899973722,-0.18441747453495722,-8.438064323596869,-0.4613114409467951,-16.321058867777055,0.07337002432638415,2.840524236121946,-0.2679203763143869,-6.779173521990591,0.06050550309793465,4.835991994783119,,,,
CTRL_qqq_1.5x_static,M2,full_IN-SAMPLE,2779,0.058656688548546415,118.89932457169073,0.9999958756485458,1.5,0.045587922805473365,1.653208237082803,21940.76443418544,-0.18185978037460981,-1335.376307360978,-0.45920680134371245,-3761.3313699099554,0.07594458651071131,445.7899276540009,-0.2893094288743677,-1313.3961549201763,0.061658807733668705,759.1028295485846,0.00020529976198495632,1.4249626470233052,1.4998793155485695,5933.464096398157
CTRL_bench_qqq_sma200_2x,M0,full_IN-SAMPLE,2779,0.14368908249883916,2.004176251537861,0.40370253443545856,1.6906954588758336,0.12563600819513393,1.1151970668336846,8.150172687900305,,,,,,,,,,,,,,
CTRL_bench_qqq_sma200_2x,M1,full_IN-SAMPLE,2779,0.12204354824164194,1.7754264973236387,0.4852243053587051,1.6906954588758336,0.10399047393793671,1.113884219448014,7.536248549909598,0.02635295058872387,0.39109197136661883,-0.31999291939175617,-3.4553356392575147,0.053048855811372045,0.6520889661546511,-0.1795746806767133,-1.32349603160654,0.3610431151945365,5.873031037602027,,,,
CTRL_bench_qqq_sma200_2x,M2,full_IN-SAMPLE,2779,0.13030331233664938,2.4075019656831405,0.6291912348907693,1.6906954588758336,0.11225023803294415,0.8587974108734248,6.477514008540316,-0.05569060161466276,-0.9099211907587208,-0.311545957948623,-4.2746092093649395,0.08352456179941008,1.2508477251370327,-0.30499547193753934,-2.413482206353886,0.1785421656471258,3.316963082171108,0.7921139786832913,8.151294674281187,1.9049427839850388,14.856807368514406
vol_managed_qqq,M2,sub_2021H2-2022,379,0.06022639714122109,1.046662728957565,0.9240700104655033,1.4551450413387335,0.054077015350511015,1.02143465812238,24.703696917075348,-0.0803066306643798,-1.6112445549708414,-0.345004416287143,-7.432199822999567,0.05842171611829051,1.2966883931445792,-0.22449780448983228,-3.0046699709922304,0.17457480347482468,5.240371273932909,0.2956326319365228,4.180008695005874,0.8563525972953079,11.799998602803024
vol_managed_qqq,M2,sub_2023-2024,502,0.037934969697941676,0.9137584345310946,0.9590503963382234,1.4551450413387335,0.012719934407775836,1.4660366229016213,29.07187793586398,-0.20452939140067955,-6.380565768760872,-0.34185597562745385,-10.626845350101597,0.027481012328775208,0.9470034308346144,-0.46561095894071514,-7.654435013174097,0.16824245409400418,7.640253587305012,0.15550615867728018,2.7236765669162515,1.4742605111289386,20.772376185485058
vol_managed_qqq,M2,sub_2025->,348,0.016494860327576643,0.2475166613194123,0.9104484772831956,1.4551450413387335,-0.006676730673544257,0.8044517738392798,5.0859043190933955,0.02264347728651091,0.31213462846032475,-0.45229648243016685,-8.628661664973736,0.13054041687130225,2.3446437868231764,-0.4519945195091574,-5.822665053664255,0.13370628042790564,3.0833063754186405,0.6662809554371026,4.365870642450218,1.4448996612115113,11.464129962157863
vol_core_svxy,M2,sub_2021H2-2022,379,0.04343607581670235,0.7425880617088164,0.9202098295969722,1.6459669184432626,0.03470853438509135,1.2073080623883305,26.279302359397192,-0.0407267347074121,-0.8715463322506724,-0.20650961322861275,-4.274974952125778,0.11789712085351418,2.4914780289209006,-0.10403566114275645,-1.2196517938550764,0.110301771011278,3.7003838491821965,0.30619386542980037,4.066398749454109,0.4752848563646845,5.9426141512240624
vol_core_svxy,M2,sub_2023-2024,502,0.05503352482613388,1.2358652863589263,0.951570888811024,1.6459669184432626,0.019246957544377122,1.721716501105692,30.97366596009783,-0.18501957786529616,-7.339958973865446,-0.18310437403204957,-4.845921579748132,0.02656847058930701,0.8053878395699685,-0.3162720798624657,-5.017910706721648,0.07141005216238355,2.9648183896544924,0.06693163212745384,1.0303165103957612,0.7590927079598023,11.585882126787302
